id,funded_amount,loan_amount,activity,sector,use,partner_id,repayment_interval
656458,700,700,Cattle,Agriculture,to purchase cattle to breed and resell when they gain weight.,9,monthly
656465,800,800,Farming,Agriculture,to purchase farmland to expand her business,9,monthly
656461,1000,1000,Vehicle,Personal Use,to purchase a motorbike for commuting.,9,monthly
656559,600,600,Retail,Retail,to buy kitchen supplies for her daughter’s store.,106,monthly
656462,1000,1000,Taxi,Transportation,to purchase a motorbike for her husband to run a taxi service.,9,monthly
656459,1000,1000,Auto Repair,Services,to purchase spare parts to fix her husband's truck.,9,monthly
656457,1500,1500,Retail,Retail,purchase a motorbike for her son to re-sell.,9,monthly
656467,1500,1500,Farming,Agriculture,to purchase farmland for rice cultivation,9,monthly
656454,1400,1400,Cattle,Agriculture,to purchase cattle to breed for calves to sell.,9,monthly
656562,1625,1625,Higher education costs,Education,To cover her daughter's school fees.,204,monthly
656468,500,500,Personal Housing Expenses,Housing,to purchase timber to build a new house,9,irregular
656495,800,800,Farming,Agriculture, to hire laborers to work on her plantation.,106,monthly
656455,1000,1000,Services,Services,to purchase materials to run a massage shop.,9,monthly
656453,1000,1000,Vehicle,Personal Use,to purchase a motorbike for commuting,9,monthly
656460,1200,1200,Personal Housing Expenses,Housing,to purchase construction materials to fix her house.,9,monthly
656488,2150,2150,Higher education costs,Education,to cover her daughter's school fees,204,monthly
656909,650,650,Farming,Agriculture,to buy fertilizers and seeds for her farmland.,204,monthly
656914,400,400,Fruits & Vegetables,Food,to buy more vegetables to resale,204,monthly
656919,600,600,Farming,Agriculture, to buy fertilizers and pesticides for his farmland,204,monthly
656915,625,625,Farming,Agriculture,to plow the field,204,monthly
656916,800,800,Higher education costs,Education, to pay for her tuition fee to study Management,204,monthly
656911,1000,1000,Personal Housing Expenses,Housing,to renovate her old house,204,monthly
656918,1200,1200,Higher education costs,Education,to pay for her son’s tuition fee to study Electronics,204,monthly
656920,200,200,Motorcycle Transport,Transportation,to buy some spare parts of his motorcycle and make some repairs.,106,monthly
657451,1575,1575,Farming,Agriculture,to pay for reaping fees.,204,monthly
657321,875,875,Farming,Agriculture,to harvest rice,204,monthly
657448,650,650,Farming,Agriculture,"to buy fertilizer, and to pay for farm labor",204,monthly
657317,475,475,Higher education costs,Education,to pay for her son’s tuition fees ,204,monthly
657441,1075,1075,Construction Supplies,Construction,to buy construction materials for her husband's business.,204,monthly
657316,1325,1325,Consumer Goods,Personal Use, to buy household supplies for her family to use,204,monthly
657434,625,625,Farming,Agriculture,To pay for reaping fees ,204,monthly
657318,525,525,Pigs,Agriculture,to buy more piglets to raise,204,monthly
657315,925,925,Home Appliances,Personal Use,to buy household supplies and a motorbike,204,monthly
657454,1200,1200,Farming,Agriculture,to buy fertilizer for her farmland,204,monthly
657322,1025,1025,Farming,Agriculture,to pay for harvesting the field.,204,monthly
657319,850,850,Farming,Agriculture,to buy fertilizers for her farmland,204,monthly
657791,725,725,Farming,Agriculture,to plow the field,204,monthly
657773,500,500,Higher education costs,Education, to pay the educational fees for his son.,106,irregular
657797,600,600,Higher education costs,Education,to pay her daughter’s tuition fees.,204,monthly
657777,1000,1000,Personal Housing Expenses,Housing,"to buy bricks, cement, and septic tanks to construct a household toilet.",106,monthly
657795,150,150,Personal Housing Expenses,Housing,to buy a decent latrine,204,monthly
657829,625,625,Farming,Agriculture, to harvesting the paddy rice.,204,monthly
657786,675,675,Farming,Agriculture,to pay for harvesting fees,204,monthly
657794,100,100,Personal Housing Expenses,Housing,to build a proper latrine for her family to use,204,monthly
657801,850,850,Farming,Agriculture,to plow the fields,204,monthly
657799,1075,1075,Farming,Agriculture,to pay for harvesting rice,204,monthly
657965,625,625,Farming,Agriculture,"to buy fertilizer, pesticide, and a pump machine and to pay for labor fees.",204,monthly
657790,625,625,Farming,Agriculture,to buy chilies and bean seeds for supporting his business,204,monthly
657954,525,525,Cattle,Agriculture,To buy cows for plowing her rice farmland.,204,monthly
657960,725,725,Farming,Agriculture,to buy seeds and fertilizer to support her business,204,monthly
657985,775,775,Tailoring,Services, to build a tailoring shop.,106,monthly
657949,725,725,Construction Supplies,Construction,To buy construction supplies,204,monthly
657892,1025,1025,Personal Housing Expenses,Housing,to pay for labor and materials to build a latrine,106,monthly
657831,1075,1075,Farming,Agriculture,to pay for harvesting rice fields.,204,monthly
657975,825,825,Farming,Agriculture,to pay rice reaping fees for her farm.,204,monthly
658444,1075,1075,Farming,Agriculture,to pay for reaping fees for her rice crop.,204,monthly
658569,1000,1000,Goods Distribution,Wholesale,"to buy stock of kitchen supplies, such as plastic baskets, bowls, porcelain dishes and cutting boards for wholesaling to market vendors.",106,monthly
658433,275,275,Home Appliances,Personal Use,to build a proper latrine for her family,204,monthly
658423,725,725,Farming,Agriculture,to pay for rice harvesting.,204,monthly
658390,550,550,Home Energy,Personal Use,"to invest in the purchase of a solar panel system to install on the top roof of her house, which is located in the off-grid area of the province. ",106,monthly
658442,1400,1400,Higher education costs,Education,to cover the school fee for her daughter.,204,monthly
658485,400,400,Higher education costs,Education,To cover the tuition fees for her son,204,monthly
658431,525,525,Farming,Agriculture,To buy seedlings and pesticide and to pay for plowing fees.,204,monthly
658361,475,475,Farming,Agriculture,to pay for harvesting the rice fields.,204,monthly
658428,1000,1000,Farming,Agriculture,to buy one hectare of farm to expand her areas for growing rice and cassavas. ,106,monthly
658357,525,525,Farming,Agriculture,to buy seeds and plow the field.,204,monthly
658470,425,425,Farming,Agriculture,To pay the harvesting fee,204,monthly
658544,1200,1200,Higher education costs,Education,to cover her education fees.,106,monthly
658471,650,650,Grocery Store,Food,"To buy grocery items for resell, and fertilizer and piglets for her farm.",204,monthly
658482,350,350,Farming,Agriculture,To pay harvesting fees.,204,monthly
658555,600,600,Personal Housing Expenses,Housing,to build materials for the construction of a latrine and pay for labor costs incurred in performing the construction. ,106,monthly
658358,675,675,Farming,Agriculture,to pay for harvesting her rice.,204,monthly
658426,500,500,Farming,Agriculture,"to buy fertilizer, gasoline, and seeds for her agribusiness.",204,monthly
658522,325,325,Farming,Agriculture,to buy a piece of land for farming rice. ,106,monthly
658350,1075,1075,Farming,Agriculture,to buy fertilizer and seeds for sesame,204,monthly
658561,1000,1000,Personal Housing Expenses,Housing, to build a sanitary latrine at home and buy some accessories for it.,106,monthly
658424,875,875,Farming,Agriculture,"to buy fertilizer, gasoline, and seeds for farming.",204,monthly
658480,625,625,Farming,Agriculture,To pay for reaping fees and to buy fertilizer for her farmland.,204,monthly
658429,1525,1525,Pigs,Agriculture, to buy pigs and pig feed.,204,monthly
658410,150,150,Fishing,Food,to buy new fishing materials to support his business.,106,monthly
658435,200,200,Home Appliances,Personal Use,to build one decent latrine for her home.,204,monthly
658479,1025,1025,Farming,Agriculture,To buy rubber tree seedlings and to pay for labor fees,204,monthly
658437,150,150,Home Appliances,Personal Use,to build a family latrine.,204,monthly
658354,775,775,Fish Selling,Food,to buy more fish to resell.,204,monthly
658440,800,800,Higher education costs,Education,to cover her son's school fees at university.,204,monthly
658353,625,625,Farming,Agriculture,to buy fertilizers and seeds for her chilies.,204,monthly
658474,775,775,Property,Housing,To renovate her house.,204,monthly
658420,1500,1500,Personal Expenses,Personal Use,to drill a rope pump well in her own yard and buy accessories like water pipes for carrying the water.,106,monthly
659106,600,600,Dental,Health,to buy some new dentistry tools.,106,monthly
659112,700,700,Home Energy,Personal Use,to build a biogas digester.,106,monthly
659109,275,275,Farm Supplies,Agriculture,to buy a water pump for her rice paddy,106,monthly
659110,500,500,Personal Housing Expenses,Housing,to build a household latrine.,106,monthly
659113,500,500,Well digging,Construction,to drill a well in his yard.,106,monthly
659105,800,800,Personal Housing Expenses,Housing,to build a household toilet.,106,monthly
659188,1000,1000,Vehicle,Personal Use,to purchae a motorbike for commuting,9,monthly
659197,1000,1000,Retail,Retail,to purchase wax and cattle to resell.,9,monthly
659214,600,600,Taxi,Transportation,to purchase a motorbike for her husband to run a taxi service,9,monthly
659177,1000,1000,Vehicle,Personal Use,to purchase a motorbike for commuting.,9,monthly
659241,700,700,Personal Housing Expenses,Housing,to purchase construction materials to fix her house,9,monthly
659243,500,500,Fruits & Vegetables,Food,to purchase bananas to resell,9,monthly
659179,1000,1000,Personal Housing Expenses,Housing,to purchase timber to build a new house,9,monthly
659191,725,725,Services,Services,to buy painting materials for supporting her business.,204,monthly
659710,1025,1025,Farming,Agriculture,to pay for cutting the rice,204,monthly
659607,500,500,Cattle,Agriculture,to purchase cattle to be used for farming and to produce calves for sale,9,monthly
659748,725,725,Farming,Agriculture,to pay harvesting fees and buy grocery items to sell.,204,monthly
659661,1000,1000,Personal Housing Expenses,Housing,to purchase timber to build a new house,9,monthly
659615,1000,1000,Personal Housing Expenses,Housing,to purchase construction materials to build a fence around her house,9,monthly
659713,1325,1325,Farming,Agriculture,to pay for cutting the rice,204,monthly
659609,1000,1000,Food,Food,to purchase fish to produce more fish paste to sell,9,monthly
659749,400,400,Personal Housing Expenses,Housing,to buy zinc to renovate her old house.,204,monthly
659768,325,325,Farming,Agriculture,to pay for harvesting her cassava.,204,monthly
659637,1200,1200,Wedding Expenses,Personal Use,to purchase some materials for his child's wedding ceremony,9,monthly
659738,725,725,Farming,Agriculture,"to buy fertilizers, pesticides and seeds for her farmland.",204,monthly
659743,975,975,Farming,Agriculture,"to buy fertilizers, pesticides and seeds for her farmland",204,monthly
659657,800,800,Farming,Agriculture,to purchase farmland to expand her farming business,9,monthly
659611,1000,1000,Vehicle,Personal Use,to purchase a motorbike for commuting,9,monthly
659764,400,400,Farming,Agriculture,to buy fertilizers for her farmland.,204,monthly
659758,1300,1300,Higher education costs,Education,to pay her daughter’s tuition fees at the university.,204,monthly
659716,675,675,Farming,Agriculture,to pay for harvesting rice,204,monthly
659622,1200,1200,Farming,Agriculture,"to purchase rice seed, fertilizer and fuel to grow rice in the dry season.",9,monthly
659649,1000,1000,Vehicle,Personal Use,to purchase a motobike for her family's use,9,monthly
659618,1500,1500,Personal Housing Expenses,Housing,to purchase construction materials to build a new house.,9,monthly
659726,850,850,Farming,Agriculture,to pay for harvesting rice.,204,monthly
659721,525,525,Farming,Agriculture,to pay for harvesting rice.,204,monthly
659724,1075,1075,Farming,Agriculture,to buy fertilizers and seeds for her farmland.,204,monthly
659752,575,575,Pigs,Agriculture,to buy pig feeds for her pig.,204,monthly
660364,1275,1275,Farming,Agriculture, to pay the reaping fee and buy fertilizer and insecticide for his crop.,204,monthly
660317,525,525,Farming,Agriculture,to buy fertilizers for her cassava ,204,monthly
660359,1525,1525,Higher education costs,Education,"to cover his school fee in university, majoring in economics.",204,monthly
660306,450,450,Farming,Agriculture,to pay for harvesting rice.,204,monthly
660321,550,550,Farming,Agriculture,to pay for labor fees in harvesting rice,204,monthly
660339,825,825,Farming,Agriculture,To pay for reaping fee,204,monthly
660352,1250,1250,Farming,Agriculture,to pay harvesting fees. ,204,monthly
660377,1425,1425,Farming,Agriculture,"To pay a reaping fee, to buy fertilizer, and to pay for labor",204,monthly
660335,1575,1575,Farming,Agriculture,to pay reaping fees and to support her sesame farming business.,204,monthly
660381,1425,1425,Farming,Agriculture,"to pay for harvesting, labor and insecticide.",204,monthly
660214,1000,1000,Vehicle,Personal Use,to purchase a motorbike for commuting.,9,monthly
660323,775,775,Farming,Agriculture,to pay for harvesting rice,204,monthly
660325,975,975,Farming,Agriculture,to buy fertilizer for her farm.,204,monthly
660337,925,925,Farming,Agriculture,To pay for reaping fee.,204,monthly
660360,675,675,Farming,Agriculture,to pay the reaping fee and labor costs and buy fertilizer and insecticide.,204,monthly
660874,100,100,Home Appliances,Personal Use,To build a decent latrine for her household,204,monthly
660746,775,775,Personal Housing Expenses,Housing,to build a latrine and buy its accessories.,106,monthly
660845,1000,1000,Vehicle,Personal Use,to buy a motorcycle ,106,monthly
660830,250,250,Personal Expenses,Personal Use,to buy rice to store for the future needs of her family.,106,monthly
660760,1700,1700,Higher education costs,Education,To pay for her daughter's school fees.,204,monthly
660759,1200,1200,Higher education costs,Education,To cover the school fee for his daughter,204,monthly
660867,775,775,Vehicle,Personal Use,to buy a decent motorbike for commuting back and forth to the workplace.,204,monthly
660774,500,500,Farming,Agriculture,To buy fertilizer for her pepper business.,204,monthly
660882,100,100,Home Appliances,Personal Use,To build a decent latrine for his household,204,monthly
660782,250,250,Higher education costs,Education,to pay for her son's enrollment fees.,106,irregular
660906,725,725,Retail,Retail,to expand his business on a larger scale.,204,monthly
660898,100,100,Home Appliances,Personal Use,To build a latrine for her family.,204,monthly
660890,100,100,Personal Housing Expenses,Housing,to build a decent latrine for her family.,204,monthly
660730,500,500,Personal Housing Expenses,Housing,to build a household latrine at the back of his house.,106,monthly
660734,1000,1000,Home Energy,Personal Use,to invest in the purchase of a home solar system to install on the top roof of her house.,106,monthly
660880,275,275,Animal Sales,Agriculture,to buy a cow for breeding.,106,monthly
661423,700,700,Farming,Agriculture,To buy fertilizer for her pineapple planting,204,monthly
661211,1300,1300,Cattle,Agriculture,to buy a cow to raise. ,61,monthly
661407,1750,1750,Higher education costs,Education,To cover her son's school fees,204,monthly
661212,250,250,Vehicle,Personal Use,to buy a motorcycle for commuting to work.   ,61,monthly
661202,200,200,Farming,Agriculture,to buy fertilizer and pesticide to maintain her rice farm.   ,61,monthly
661412,600,600,Land Rental,Agriculture,To pay for the land leasing fee to grow her cucumbers.,204,monthly
661433,500,500,Construction,Construction,to pay for road preparation in her village.,204,monthly
661304,1025,1025,Personal Housing Expenses,Housing,to build a household latrine.,106,monthly
661417,1200,1200,Higher education costs,Education,To pay the school fees for her son who wants to earn a bachelor's degree.,204,monthly
661425,400,400,Farming,Agriculture,to buy fertilizer for her pineapple planting and to pay fees associated with her rice reaping,204,monthly
661332,700,700,Services,Services,to fix his tractor that is partly broken.,106,monthly
661410,700,700,Farming,Agriculture,To pay for labor for her cassava business.,204,monthly
661420,1100,1100,Agriculture,Agriculture,To buy a plot of farmland.,204,monthly
661214,200,200,Higher education costs,Education,To pay his school fees. ,61,monthly
661209,250,250,Personal Housing Expenses,Housing,to pay for her house building fees.  ,61,monthly
661428,250,250,Farming,Agriculture,To pay for reaping fees,204,monthly
661414,250,250,Higher education costs,Education,To pay the school fees for her son who wants to study law.,204,monthly
661324,1500,1500,Motorcycle Repair,Services,to buy motor spare parts and vehicle fuel to be used for repair and maintenance services. ,106,monthly
661409,2400,2400,Higher education costs,Education,To cover her daughter’s school fees ,204,monthly
661341,500,500,Farming,Agriculture,to build a barn for storing her rice.,106,monthly
661429,1000,1000,Farming,Agriculture,To buy an additional plot of farmland,204,monthly
661196,1000,1000,Cattle,Agriculture,To buy a cow to raise.  ,61,monthly
661358,500,500,Farming,Agriculture,to buy a piece of land to enlarge his rice farm.,106,monthly
661741,775,775,Farming,Agriculture,to buy seeds and pay labour fees on her farm.,204,monthly
661742,1025,1025,Farming,Agriculture,to buy seeds for her farmland. ,204,monthly
661743,2775,2775,Farming,Agriculture,to pay for harvesting rice and cassava.,204,monthly
661740,75,75,Farming,Agriculture,to pay for labour fees in harvesting rice.,204,monthly
662009,1000,1000,Taxi,Transportation,to purchase a motorbike for her husband to run a taxi service,9,monthly
661999,1200,1200,Farming,Agriculture,to buy a piece of land to expand her farming area.,106,monthly
662120,1000,1000,Personal Housing Expenses,Housing,to build a safe latrine for the household.,106,monthly
662125,1500,1500,Motorcycle Repair,Services,to help her son buy motorcycles to fix up and sell. ,61,monthly
662111,550,550,Vehicle,Personal Use,to buy a motorcycle to meet his daily transportation needs.,106,monthly
